County,2020-21_act,2021-22_act,2021-22_hyp,2022-23_act,2022-23_hyp,2023-24_act,2023-24_hyp,2024-25_act,2024-25_hyp,2025-26_act,2025_26_hyp,5-year_act,5-year_hyp,5-year_cnt_diff,5-year_pct_diff,5-year_savings_rate,grade
Alamance ,"100,814,360","103,248,116","102,684,806","104,799,190","110,337,907","112,293,202","122,531,906","121,254,356","128,812,270","133,091,439","135,442,505","574,686,303","599,809,393","-25,123,090",-4%,-0.0437,A
Alexander ,"21,469,654","22,215,705","21,300,551","22,562,721","21,004,033","27,452,485","20,925,940","26,960,355","21,027,519","27,602,273","21,113,245","126,793,539","105,371,289","21,422,250",20%,0.169,C
Alleghany ,"10,580,693","11,681,990","10,557,437","12,022,139","10,681,471","12,495,435","10,936,322","12,926,294","11,111,714","13,282,980","11,147,568","62,408,838","54,434,511","7,974,327",15%,0.1278,C
Anson ,"16,600,996","16,837,552","16,567,792","16,733,306","16,540,626","18,324,069","16,651,556","18,045,968","16,593,450","18,675,283","16,526,288","88,616,178","82,879,712","5,736,466",7%,0.0647,B
Ashe ,"18,652,342","21,377,410","18,552,237","21,931,425","18,431,132","26,560,957","18,591,439","26,825,057","18,404,531","27,209,339","18,502,535","123,904,188","92,481,875","31,422,313",34%,0.2536,D
Avery ,"22,905,055","23,569,584","22,818,762","23,900,556","22,137,432","24,565,090","22,225,013","25,246,041","22,501,924","25,945,644","22,863,840","123,226,915","112,546,971","10,679,944",9%,0.0867,B
Beaufort ,"40,038,995","38,199,202","39,746,362","39,361,551","39,310,981","40,363,837","39,386,816","41,149,561","39,319,010","43,845,067","39,448,376","202,919,218","197,211,544","5,707,674",3%,0.0281,B
Bertie ,"12,537,709","12,259,651","12,253,140","12,380,707","11,847,108","12,904,761","11,590,301","13,906,881","11,570,173","14,389,275","11,653,462","65,841,275","58,914,184","6,927,091",12%,0.1052,C
Bladen ,"24,992,535","25,335,726","24,583,177","27,078,055","24,208,835","27,841,888","24,186,324","28,366,547","24,523,982","29,256,108","24,505,640","137,878,324","122,007,958","15,870,366",13%,0.1151,C
Brunswick ,"145,983,884","152,272,355","151,444,759","158,994,284","158,967,392","174,653,310","167,644,916","181,510,263","176,237,217","192,664,580","185,140,911","860,094,792","839,435,195","20,659,597",2%,0.024,B
Buncombe ,"216,206,555","235,791,097","218,289,601","241,930,435","220,341,110","255,508,808","221,759,457","273,036,795","224,213,666","292,375,443","226,040,374","1,298,642,578","1,110,644,207","187,998,371",17%,0.1448,C
