county,assessed_valuation,county_wide_levy
Alamance,27010853334,133091439
Alexander,4242495513,27602273
Alleghany,2223775261,13282980
Anson,2400672775,18675283
Ashe,6180747523,27209339
Avery,6539113774,25945644
Beaufort,9629636325,43845067
Bertie,1545183553,14389275
Bladen,3722356134,29256108
Brunswick,56315243011,192664580
Buncombe,53610452817,292375443
Burke,11182146810,62141849
Cabarrus,49881485579,287669831
Caldwell,12156498807,60478582
Camden,1817886573,13275443
Carteret,31644682512,72401908
Caswell,2435459823,15204067
Catawba,32409892902,129220963
Chatham,22716432644,137739646
Cherokee,4290126844,26187252
Chowan,2656396695,17323255
Clay,2274566422,9784057
Cleveland,15261995928,84507735
Columbus,4516623580,36404978
Craven,14823408594,65977229
Cumberland,40818103706,212000554
Currituck,9227663891,57237630
Dare,28651238661,76180697
Davidson,20082688456,108446518
Davie,7955181304,52091918
Duplin,7040257751,41702475
Durham,85900023146,483021156
Edgecombe,4484571498,39958224
Forsyth,65804730764,352186919
Franklin,13336167553,67453484
Gaston,35687843558,213967202
Gates,1372668628,9398343
Graham,1704253704,10059886
Granville,8922035249,56387275
Greene,1447656302,11394277
Guilford,75161295696,549532480
Halifax,5410701109,37908378
Harnett,16084942722,95167231
Haywood,10292447413,56608462
Henderson,25990621259,112080007
Hertford,1913313906,16091603
Hoke,5306362664,38736448
Hyde,1404732462,12768531
Iredell,44377519044,222019214
Jackson,19611070471,61118173
Johnston,44872868080,237576684
Jones,1221440110,9045619
Lee,10304180841,67029974
Lenoir,6707364122,46253231
Lincoln,20428324709,102000844
Macon,13585801288,36693161
Madison,4771948550,17195719
Martin,2756789047,20052722
Mcdowell,6688660689,37976438
Mecklenburg,302954055682,1492300028
Mitchell,2601398734,14567833
Montgomery,3951844601,24325009
Moore,23647846740,70000523
Nash,12565503195,79258414
New Hanover,80988112436,251847898
Northampton,2983573368,24614180
Onslow,22479019300,147363826
Orange,33695281433,218119292
Pamlico,2118380188,13670778
Pasquotank,4718962245,29276648
Pender,10434196388,77033055
Perquimans,2406000152,12521682
Person,7819835952,49661752
Pitt,24131014296,136841369
Polk,5331207111,23058538
Randolph,20574848118,102954030
Richmond,5055041440,37017755
Robeson,9962746888,74871261
Rockingham,12818605931,74442165
Rowan,21643877753,125620537
Rutherford,11411024102,51823099
Sampson,7251924968,49370252
Scotland,2708761750,26851303
Stanly,9759965469,50581133
Stokes,6683095669,41907181
Surry,9171681548,47367745
Swain,2138174616,8767851
Transylvania,12054183992,50190923
Tyrrell,562155608,4920671
Union,62771098102,277899273
Vance,4836650515,34480481
Wake,311698513683,1612589315
Warren,5008921574,29571944
Washington,1065615957,9065390
Watauga,15173462466,48265529
Wayne,13748358150,87663085
Wilkes,10319038032,44969142
Wilson,11561896006,68877970
Yadkin,4400246130,28627039
Yancey,3950196682,20743170
